January 2,Richard Winters,"American paratrooper",1918
January 2,Anne Francis,"American actress",1930
January 4,Ali-Reza Pahlavi|Prince Ali-Reza Pahlavi of Iran (b. 1966
January 4,Gerry Rafferty,"Scottish musician",1947
January 10,John Dye,"American actor",1963
January 10,Margaret Whiting,"American country and pop musician",1924
January 11,David Nelson (actor)|David Nelson,"American actor, director and producer",1936
January 15,Nat Lofthouse,"English footballer",1925
January 15,Susannah York,"English actress",1939
January 18,Sargent Shriver,"American diplomat, politician, and activist",1915
January 21,Dennis Oppenheim,"American artist",1938
January 24,Bernd Eichinger,"German film producer, director and screenwriter",1949
January 26,Gladys Horton,"American singer, lead singer and founder of The Marvelettes",1945
January 27,Charlie Callas,"American comedian and actor",1924
January 29,Milton Babbitt,"American composer",1916
January 30,John Barry (composer)|John Barry,"English composer",1933
February 3,Maria Schneider (actress)|Maria Schneider,"French actress",1952
February 4,Martial Célestin,"1st Prime Minister of Haiti",1913
February 5,Brian Jacques,"British author",1939
February 6,Josefa Iloilo,"2-Time President of Fiji",1920
February 6,Gary Moore,"British musician",1952
February 8,Cesare Rubini,"Italian basketball player and coach",1923
February 12,Betty Garrett,"American actress and dancer",1919
February 12,Kenneth Mars,"American actor",1935
February 14,George Shearing,"British-American jazz pianist",1919
February 16,Len Lesser,"American actor",1922
February 23,Shri Mataji Nirmala Srivastava,"Indian founder of Sahaja Yoga",1923
February 27,Gary Winick,"American filmmaker",1961
February 27,Necmettin Erbakan,"25th Prime Minister of Turkey",1926
February 28,Annie Girardot,"French actress",1931
February 28,Jane Russell,"American actress",1921
March 2,Allan Louisy,"2nd Prime Minister of Saint Lucia",1916
March 4,Krishna Prasad Bhattarai,"30th Prime Minister of Nepal",1924
March 4,Simon van der Meer,"Dutch Nobel physicist",1925
March 5,Alberto Granado,"Cuban writer and scientist",1922
March 6,Ján Popluhár,"Slovak footballer",1935
March 8,Mike Starr (musician)|Mike Starr,"American musician",1966
March 15,Nate Dogg,"American rapper",1969
March 17,Michael Gough,"British actor",1916
March 18,Warren Christopher,"American diplomat",1925
March 21,Nikolai Andrianov,"Soviet-Russian gymnast",1952
March 21,Pinetop Perkins,"American singer and pianist",1913
March 23,Elizabeth Taylor,"British-American actress",1932
March 26,Geraldine Ferraro,"American politician",1935
March 26,Diana Wynne Jones,"British writer",1934
March 27,Farley Granger,"American actor",1925
March 29,José Alencar,"Brazilian politician, 23rd Vice President of Brazil",1931
April 4,Juliano Mer-Khamis,"Israeli actor, director, filmmaker, and political activist",1958
April 4,Scott Columbus,"American drummer",1956
April 5,Baruch Samuel Blumberg,"American physician",1925
April 5,Ange-Félix Patassé,"5th President of the Central African Republic",1937
April 9,Sidney Lumet,"American film director",1924
April 14,William Lipscomb,"American chemist",1919
April 17,Michael Sarrazin,"Canadian actor",1940
April 19,Elisabeth Sladen,"English actress",1946
April 19,Grete Waitz,"Norwegian athlete",1953
April 21,Tim Hetherington,"British photojournalist",1970
April 24,Sathya Sai Baba,"Indian spiritual leader",1926
April 25,Joe Perry (American football)|Joe Perry,"American football player",1927
April 25,Poly Styrene,"British musician",1957
April 30,Ernesto Sabato,"Argentine writer",1911
May 1,Henry Cooper,"British heavyweight boxer",1934
May 2,Osama bin Laden,"Saudi-born leader of Al-Qaeda",1957
May 3,Jackie Cooper,"American actor",1922
May 4,Sada Thompson,"American actress",1927
May 5,Claude Choules,"Anglo-Australian military serviceman",1901
May 5,Dana Wynter,"German-born British actress",1931
May 7,Seve Ballesteros,"Spanish golfer",1957
May 7,Willard Boyle,"Canadian Nobel physicist",1924
May 8,Lionel Rose,"Australian boxer",1948
May 9,Lidia Gueiler Tejada,"56th President of Bolivia",1921
May 15,Samuel Wanjiru,"Kenyan athlete",1986
May 17,Harmon Killebrew,"American baseball player",1936
May 18,Guy Razanamasy,"2-Time Prime Minister of Madagascar",1928
May 19,Garret FitzGerald,"8th Taoiseach of Ireland",1926
May 20,Randy Savage,"American professional wrestler",1952
May 21,Bill Hunter (actor)|Bill Hunter,"Australian actor",1940
May 23,Nasser Hejazi,"Iranian footballer",1949
May 23,Xavier Tondo,"Spanish professional racing cyclist",1978
May 27,Jeff Conaway,"American actor",1950
May 27,Gil Scott-Heron,"American poet and musician",1949
May 29,Sergei Bagapsh,"2nd President of Abkhazia",1949
May 29,Ferenc Mádl,"2nd President of Hungary",1931
May 30,Rosalyn Sussman Yalow,"American physicist",1921
May 31,Pauline Betz,"American tennis player",1919
June 3,Andrew Gold,"American singer-songwriter and musician",1951
June 3,Jack Kevorkian,"American euthanasia advocate",1928
June 4,Lawrence Eagleburger,"American diplomat",1930
June 5,Ludo Martens,"Belgian writer and political activist",1946
June 7,Jorge Semprún,"Spanish writer and politician",1923
